worker_id,platform,worker_type,location,age,experience_months,working_hours,daily_income,avg_daily_distance_km,weather_risk,traffic_risk,area_risk,night_work_ratio,historical_incidents,safety_score,days_active_last_30,previous_claims,avg_trip_duration_min,risk_score,risk_level,recommended_premium
W00015,Zepto,Delivery,Thane,35,26,6.4,1403.0,53.9,0.539,0.488,0.225,0.214,0,0.643,14,1,35.6,0.3798,MEDIUM,12.09
W00016,Zepto,Delivery,Navi_Mumbai,49,66,8.2,953.0,63.8,0.199,0.366,0.36,0.055,1,0.575,10,0,30.6,0.3263,LOW,8.15
W00017,Ola,Delivery,Thane,43,68,3.6,350.0,37.0,0.583,0.355,0.114,0.646,1,0.945,7,2,32.1,0.3573,MEDIUM,10.59
W00018,Swiggy,Quick_Commerce,Mumbai,28,35,8.7,1059.0,159.8,0.743,0.67,0.347,0.4,2,0.835,10,1,35.2,0.6003,MEDIUM,12.45
W00019,Zepto,Quick_Commerce,Delhi,54,89,8.0,1196.0,115.5,0.187,0.313,0.119,0.211,3,0.838,17,0,27.1,0.3295,LOW,11.3
W00020,Ola,Courier,Mumbai,48,82,7.2,1172.0,57.9,0.258,0.539,0.19,0.154,1,0.703,10,1,23.7,0.3308,MEDIUM,11.42
W00021,Ola,Courier,Thane,33,59,6.2,848.0,85.5,0.19,0.824,0.258,0.446,1,0.433,21,0,39.7,0.4478,MEDIUM,12.3
W00022,Uber,Courier,Bengaluru,54,72,9.2,678.0,69.8,0.728,0.605,0.571,0.135,2,0.783,28,3,26.1,0.5413,MEDIUM,11.93
W00023,Zomato,Delivery,Thane,25,52,7.8,1410.0,90.5,0.432,0.329,0.284,0.17,0,0.758,17,1,44.4,0.3575,MEDIUM,11.69
W00024,Amazon,Courier,Hyderabad,30,46,4.0,1223.0,58.1,0.218,0.873,0.176,0.328,1,0.618,27,0,38.3,0.3861,MEDIUM,10.44
W00025,Zepto,Courier,Mumbai,53,53,6.7,862.0,31.7,0.352,0.127,0.336,0.175,0,0.841,13,0,36.8,0.2603,LOW,8.79
W00026,Blinkit,Courier,Pune,54,82,3.8,575.0,65.0,0.319,0.404,0.132,0.213,2,0.717,13,1,28.7,0.3115,LOW,8.74
W00027,Uber,Delivery,Mumbai,49,2,6.8,1178.0,133.3,0.528,0.578,0.066,0.13,0,0.733,10,1,24.6,0.4032,MEDIUM,12.21
W00028,Zepto,Delivery,Mumbai,25,10,8.3,786.0,33.0,0.354,0.396,0.657,0.106,0,0.698,25,0,32.5,0.3816,MEDIUM,11.59
W00029,Ola,Courier,Bengaluru,26,46,6.9,1234.0,123.4,0.027,0.134,0.235,0.345,0,0.714,12,0,25.3,0.2649,LOW,9.09
W00030,Ola,Delivery,Mumbai,42,56,6.4,1155.0,104.6,0.312,0.318,0.255,0.037,0,0.482,8,0,27.1,0.3301,MEDIUM,10.54
W00031,Ola,Delivery,Hyderabad,20,18,5.8,1827.0,71.0,0.444,0.29,0.241,0.121,0,0.579,7,1,8.0,0.3275,LOW,12.01
W00032,Zomato,Ride_Hailing,Delhi,55,59,6.8,1073.0,111.3,,0.262,0.403,0.582,1,0.781,14,0,45.4,0.4169,MEDIUM,12.26
W00033,Swiggy,Delivery,Pune,53,3,3.7,1800.0,92.3,0.261,0.421,0.219,0.569,2,1.0,8,0,34.0,0.3551,MEDIUM,11.93
W00034,Ola,Delivery,Hyderabad,48,24,12.9,1129.0,10.2,0.529,0.615,0.47,0.16,0,0.728,18,1,27.3,0.4394,MEDIUM,13.14
W00035,Amazon,Courier,Navi_Mumbai,54,45,8.6,867.0,70.8,0.64,0.662,0.328,0.439,1,0.835,7,0,30.5,0.5034,MEDIUM,12.76
W00036,Swiggy,Courier,Navi_Mumbai,26,5,9.4,731.0,71.9,0.693,0.119,0.384,0.036,1,1.0,7,0,23.5,0.3719,MEDIUM,11.37
W00037,Amazon,Courier,Navi_Mumbai,51,61,4.8,793.0,135.6,0.115,0.181,0.066,0.249,0,0.773,7,2,13.4,0.2402,LOW,8.59
W00038,Zepto,Delivery,Delhi,27,52,12.2,1250.0,71.0,0.346,0.327,0.104,0.173,0,0.373,19,1,35.9,0.352,MEDIUM,10.65
W00039,Zomato,Delivery,Bengaluru,22,55,8.7,1145.0,77.6,0.292,0.692,0.324,0.158,1,0.719,13,1,37.0,0.4123,MEDIUM,11.51
W00040,Blinkit,Ride_Hailing,Pune,27,50,7.1,456.0,44.4,0.61,0.599,0.21,0.633,1,0.865,17,1,46.7,0.4575,MEDIUM,10.75
W00041,Zomato,Ride_Hailing,Thane,47,67,10.1,1457.0,82.8,0.525,0.524,0.528,0.181,1,0.311,5,0,27.9,0.5182,MEDIUM,13.24
W00042,Zepto,Delivery,Hyderabad,53,63,6.0,1617.0,43.4,0.577,0.357,0.489,0.3,1,0.477,30,1,28.6,0.44,MEDIUM,12.42
W00043,Blinkit,Quick_Commerce,Delhi,41,64,12.3,453.0,123.0,0.622,0.255,0.377,0.31,0,0.601,19,0,40.8,0.4817,MEDIUM,11.21
W00044,Uber,Courier,Bengaluru,27,21,4.7,1454.0,70.3,0.507,0.796,0.492,0.326,2,0.634,30,0,40.1,0.518,MEDIUM,14.36
W00045,Swiggy,Ride_Hailing,Pune,40,66,11.3,1689.0,43.3,0.363,0.276,0.305,0.172,1,0.831,21,0,39.8,0.3368,MEDIUM,12.13
W00046,Amazon,Ride_Hailing,Thane,37,18,12.7,471.0,127.9,0.484,0.246,0.296,0.436,1,0.559,5,0,21.7,0.4709,MEDIUM,11.93
W00047,Ola,Ride_Hailing,Hyderabad,37,3,7.9,936.0,39.3,0.367,0.266,0.29,0.276,1,0.611,19,0,47.7,0.3379,MEDIUM,9.82
W00048,Amazon,Delivery,Delhi,31,94,11.8,803.0,93.9,0.143,0.183,0.174,0.501,0,0.64,27,0,42.3,0.3259,LOW,11.51
W00049,Blinkit,Delivery,Navi_Mumbai,23,18,3.7,1441.0,32.9,0.623,0.63,0.326,0.277,2,0.762,19,0,26.9,0.436,MEDIUM,12.47
W00050,Zepto,Ride_Hailing,Bengaluru,31,11,9.2,955.0,95.3,0.265,0.696,0.398,0.249,2,0.617,14,0,24.8,0.4686,MEDIUM,12.82
W00051,Zepto,Ride_Hailing,Mumbai,51,30,6.6,941.0,122.4,0.21,0.375,0.375,0.383,1,0.921,26,1,39.6,0.3731,MEDIUM,11.87
W00052,Zomato,Ride_Hailing,Hyderabad,33,96,6.6,1247.0,62.3,0.418,0.578,0.182,0.54,0,0.763,9,0,43.3,0.3981,MEDIUM,12.95
W00053,Uber,Courier,Delhi,18,83,7.5,1646.0,43.7,0.518,0.223,0.047,0.12,1,0.528,21,2,38.0,0.3079,LOW,10.65
W00054,Ola,Delivery,Delhi,31,70,9.0,1078.0,44.8,0.658,0.237,0.144,0.355,0,1.0,21,0,31.6,0.3458,MEDIUM,10.33
W00055,Ola,Delivery,Mumbai,35,19,9.2,935.0,83.1,0.56,0.505,0.403,0.192,0,0.701,8,1,15.2,0.4503,MEDIUM,12.63
W00056,Swiggy,Delivery,Thane,40,61,5.8,1000.0,152.5,0.439,0.275,0.315,0.428,0,0.769,27,1,22.6,0.413,MEDIUM,11.76
W00057,Ola,Delivery,Bengaluru,42,80,6.8,1330.0,122.4,0.428,0.328,0.36,0.217,1,0.87,27,1,38.1,0.3954,MEDIUM,11.68
W00058,Zomato,Ride_Hailing,Pune,34,33,5.5,634.0,126.0,0.344,0.528,0.162,0.286,0,0.696,9,0,15.2,0.3792,MEDIUM,9.76
W00059,Zepto,Quick_Commerce,Mumbai,23,25,9.3,1094.0,47.6,0.367,0.475,0.678,0.045,1,0.708,18,0,12.7,0.4248,MEDIUM,10.44
W00060,Blinkit,Courier,Delhi,34,84,4.0,772.0,123.4,0.13,0.255,0.349,0.344,0,0.646,15,0,33.9,0.3159,LOW,10.39
W00061,Amazon,Quick_Commerce,Bengaluru,18,13,7.2,679.0,119.5,0.169,0.214,0.097,0.142,0,0.878,26,1,21.7,0.2476,LOW,9.18
W00062,Zepto,Ride_Hailing,Thane,37,88,12.8,419.0,95.7,0.391,0.357,0.123,0.159,0,0.662,23,1,50.8,0.3623,MEDIUM,10.48
W00063,Uber,Delivery,Delhi,34,46,12.9,920.0,62.9,0.047,0.197,0.815,0.261,1,0.793,10,0,13.1,0.3763,MEDIUM,10.83
W00064,Amazon,Ride_Hailing,Hyderabad,31,70,8.2,1478.0,119.0,0.386,0.515,0.38,0.305,1,0.466,8,0,24.4,0.4733,MEDIUM,13.62
W00065,Uber,Delivery,Pune,43,36,5.5,406.0,61.3,0.324,0.46,0.187,0.154,2,0.617,15,0,44.5,0.3424,MEDIUM,9.42
W00066,Uber,Courier,Thane,46,69,8.8,1290.0,108.0,0.269,0.632,0.428,0.484,0,0.529,12,0,28.1,0.4764,MEDIUM,13.35
W00067,Amazon,Ride_Hailing,Hyderabad,28,89,7.9,873.0,71.7,0.231,0.377,0.233,0.364,1,0.495,29,0,25.5,0.3592,MEDIUM,11.03
W00068,Uber,Delivery,Hyderabad,37,48,3.4,728.0,50.5,0.496,0.505,0.527,0.065,1,0.746,20,0,14.7,0.3933,MEDIUM,12.23
W00069,Swiggy,Delivery,Pune,37,21,12.9,1220.0,70.8,0.341,0.605,0.585,0.138,0,0.883,12,0,18.1,0.4423,MEDIUM,10.93
W00070,Ola,Delivery,Navi_Mumbai,37,8,6.3,1559.0,153.9,0.188,0.323,0.411,0.306,1,0.671,28,0,34.4,0.3951,MEDIUM,12.76
W00071,Zepto,Courier,Bengaluru,33,89,7.0,1624.0,44.2,0.178,0.466,0.175,0.752,0,0.602,18,1,35.2,0.3528,MEDIUM,11.3
W00072,Zomato,Delivery,Mumbai,25,96,8.1,1199.0,119.7,,0.58,0.359,0.444,1,0.801,30,0,21.8,0.4379,MEDIUM,11.93
W00073,Ola,Delivery,Navi_Mumbai,24,63,11.8,1075.0,114.4,0.176,0.429,0.218,0.041,1,0.655,20,0,30.6,0.3566,MEDIUM,11.79
W00074,Swiggy,Delivery,Pune,19,2,11.0,1237.0,78.5,0.764,0.611,0.216,0.218,1,0.851,20,1,44.1,0.4947,MEDIUM,14.13
W00075,Blinkit,Quick_Commerce,Delhi,19,85,5.1,1967.0,65.7,0.412,0.48,0.34,0.16,0,0.574,14,0,25.3,0.3693,MEDIUM,14.01
W00076,Ola,Ride_Hailing,Delhi,48,48,10.2,998.0,41.3,0.437,0.265,0.596,0.173,1,0.43,24,0,20.9,0.427,MEDIUM,11.61
W00077,Uber,Ride_Hailing,Navi_Mumbai,20,23,11.7,1497.0,130.1,0.266,0.179,0.22,0.656,0,0.47,22,0,44.5,0.4162,MEDIUM,12.55
W00078,Zomato,Delivery,Hyderabad,50,36,10.1,893.0,43.4,0.573,0.692,0.256,0.253,0,0.675,5,0,30.7,0.4493,MEDIUM,12.39
W00079,Ola,Delivery,Delhi,52,91,4.4,809.0,10.0,0.151,0.207,0.329,0.278,1,0.634,30,0,24.4,0.2423,LOW,10.22
W00080,Blinkit,Courier,Pune,27,75,8.4,1719.0,95.8,0.168,,0.359,0.517,0,0.617,27,1,42.6,0.3512,MEDIUM,11.59
W00081,Amazon,Delivery,Hyderabad,34,58,11.4,1101.0,37.7,0.459,0.487,0.382,0.235,0,0.663,30,0,43.3,0.4137,MEDIUM,11.1
W00082,Ola,Delivery,Mumbai,31,71,5.0,1179.0,,0.327,0.785,0.314,0.199,0,0.873,14,2,26.1,0.3913,MEDIUM,11.86
W00083,Zomato,Ride_Hailing,Delhi,32,82,8.4,1291.0,,0.354,0.35,0.579,0.667,0,0.692,5,0,31.5,0.4311,MEDIUM,12.06
W00084,Zepto,Delivery,Hyderabad,31,61,9.7,788.0,64.7,0.157,0.706,0.268,0.228,0,1.0,25,1,16.4,0.345,MEDIUM,10.26
W00085,Blinkit,Delivery,Delhi,31,31,9.4,947.0,87.4,0.417,0.313,0.367,0.337,0,0.758,18,0,37.2,0.3949,MEDIUM,12.34
W00086,Blinkit,Quick_Commerce,Pune,44,8,4.1,875.0,94.5,0.171,0.417,0.214,0.195,2,0.566,23,0,22.9,0.3277,LOW,9.22
W00087,Swiggy,Ride_Hailing,Navi_Mumbai,33,12,5.8,1216.0,131.9,0.379,0.721,0.51,0.166,0,0.667,12,0,11.9,0.4781,MEDIUM,13.01
W00088,Uber,Delivery,Thane,25,23,8.5,1228.0,85.0,0.57,0.128,0.532,0.196,1,0.929,7,1,10.0,0.4007,MEDIUM,12.01
W00089,Zepto,Delivery,Pune,32,74,5.1,890.0,88.8,0.508,0.134,0.532,0.23,0,1.0,19,0,41.6,0.3524,MEDIUM,10.74
W00090,Zepto,Quick_Commerce,Hyderabad,55,10,6.3,1810.0,76.6,0.29,0.673,0.377,0.389,1,0.788,6,0,28.7,0.4235,MEDIUM,12.0
W00091,Ola,Delivery,Pune,55,13,7.2,1090.0,117.3,0.811,0.304,0.181,0.274,1,0.752,10,0,11.7,0.4586,MEDIUM,11.45
W00092,Zepto,Delivery,Mumbai,20,94,3.1,1136.0,45.4,0.261,0.702,0.61,0.236,0,0.685,26,0,27.3,0.398,MEDIUM,10.12
W00093,Zepto,Ride_Hailing,Pune,39,39,8.1,1570.0,69.7,0.214,0.361,0.381,0.27,0,,17,0,23.3,0.3248,LOW,11.43
W00094,Uber,Ride_Hailing,Mumbai,55,13,12.9,794.0,85.0,0.44,0.435,0.475,0.348,2,0.654,24,0,35.9,0.4947,MEDIUM,12.25
W00095,Amazon,Courier,Hyderabad,25,84,7.1,918.0,53.3,0.162,0.654,0.276,0.326,0,0.866,13,0,18.4,0.3357,MEDIUM,9.97
W00096,Uber,Delivery,Pune,20,93,5.7,1200.0,133.9,0.432,0.256,0.537,0.171,1,0.607,20,1,44.7,0.431,MEDIUM,12.92
W00097,Zomato,Delivery,Thane,26,49,5.5,584.0,96.1,0.552,0.883,0.165,0.296,1,0.619,23,0,34.7,0.4908,MEDIUM,13.1
W00098,Blinkit,Ride_Hailing,Delhi,30,11,8.2,1017.0,42.1,0.557,0.495,0.512,0.643,1,0.72,18,0,31.9,0.5001,MEDIUM,12.44
W00099,Blinkit,Quick_Commerce,Pune,53,61,7.6,1818.0,99.3,0.649,0.454,0.313,0.277,0,1.0,15,2,29.9,0.4309,MEDIUM,12.58
W00100,Swiggy,Delivery,Pune,27,83,11.6,1740.0,130.9,0.181,0.63,0.324,0.177,1,0.458,8,0,26.8,0.4547,MEDIUM,11.97
W00101,Zepto,Ride_Hailing,Delhi,30,93,9.4,1414.0,59.8,0.153,0.228,0.148,0.09,2,0.788,28,0,51.0,0.2596,LOW,10.5
W00102,Zomato,Delivery,Hyderabad,27,56,7.0,1514.0,132.7,0.015,0.066,0.384,0.503,1,0.673,12,0,26.0,0.32,LOW,11.42
W00103,Zepto,Courier,Bengaluru,32,91,6.9,1273.0,94.0,0.344,0.241,0.159,0.035,0,0.658,18,1,34.5,0.2879,LOW,9.89
W00104,Swiggy,Courier,Thane,55,80,8.5,949.0,92.1,0.365,0.393,0.271,0.304,2,0.737,6,0,26.8,0.4034,MEDIUM,11.23
W00105,Zepto,Ride_Hailing,Thane,21,16,5.5,1675.0,126.9,0.415,0.513,0.484,0.237,2,0.829,21,0,27.1,0.4621,MEDIUM,12.8
W00106,Zepto,Courier,Hyderabad,35,61,7.2,768.0,92.1,0.087,0.21,0.379,0.24,0,0.436,24,0,52.5,0.3085,LOW,9.62
W00107,Zepto,Courier,Delhi,41,64,5.9,1439.0,98.7,0.401,0.466,0.474,0.057,2,0.683,16,0,12.6,0.4228,MEDIUM,11.8
W00108,Blinkit,Delivery,Mumbai,22,74,8.2,922.0,88.2,0.405,0.597,0.264,0.039,0,0.706,24,0,29.6,0.3857,MEDIUM,11.52
W00109,Ola,Delivery,Pune,19,52,8.5,943.0,23.6,0.309,0.75,0.375,0.48,2,0.708,9,0,21.4,0.4518,MEDIUM,10.9
W00110,Blinkit,Ride_Hailing,Mumbai,55,71,11.5,1289.0,99.4,0.533,0.424,0.262,0.352,1,0.669,22,1,32.6,0.4664,MEDIUM,12.71
W00111,Zomato,Delivery,Mumbai,28,57,5.5,1812.0,93.8,0.119,0.356,0.341,0.199,0,0.694,15,0,43.9,0.2992,LOW,11.48
W00112,Zepto,Ride_Hailing,Thane,27,25,12.0,1600.0,71.7,0.169,0.814,0.116,0.181,1,0.769,15,0,40.7,0.3866,MEDIUM,11.86
W00113,Ola,Delivery,Thane,31,47,8.4,1219.0,10.0,0.263,0.363,0.524,0.222,0,0.498,6,0,23.3,0.347,MEDIUM,10.98
W00114,Ola,Courier,Mumbai,20,90,10.3,1122.0,,0.227,0.461,0.096,0.227,0,0.719,20,1,34.2,0.3398,MEDIUM,10.53
W00115,Ola,Ride_Hailing,Bengaluru,23,81,9.1,1374.0,54.9,0.22,0.352,0.641,0.041,1,1.0,24,1,32.7,0.3433,MEDIUM,10.81
W00116,Ola,Quick_Commerce,Pune,18,62,11.3,1578.0,45.6,0.237,0.102,0.19,0.426,0,1.0,21,1,8.4,0.2616,LOW,10.92
W00117,Swiggy,Ride_Hailing,Pune,38,31,9.6,484.0,42.2,0.608,0.631,0.37,0.374,0,0.62,5,2,24.5,0.4814,MEDIUM,11.22
W00118,Swiggy,Delivery,Hyderabad,35,20,3.1,1056.0,16.4,0.343,0.702,0.146,0.177,0,0.642,16,0,34.9,0.3096,LOW,10.9
W00119,Zomato,Courier,Bengaluru,28,28,6.9,732.0,101.2,0.619,0.604,0.191,0.154,1,0.635,13,0,22.1,0.4544,MEDIUM,12.87
W00120,Swiggy,Delivery,Bengaluru,52,30,12.4,1023.0,167.5,0.196,0.655,0.395,0.642,0,0.601,21,0,8.0,0.5327,MEDIUM,12.77
W00121,Ola,Delivery,Thane,29,93,7.5,660.0,64.7,0.601,0.471,0.293,0.256,0,0.677,7,1,22.0,0.4194,MEDIUM,10.83
W00122,Blinkit,Delivery,Bengaluru,18,52,11.3,468.0,113.7,0.35,0.583,0.408,0.146,0,0.741,7,2,42.8,0.4448,MEDIUM,9.62
W00123,Blinkit,Quick_Commerce,Hyderabad,21,38,11.7,638.0,81.7,0.182,0.532,0.093,0.6,2,0.682,15,5,33.3,0.4104,MEDIUM,10.99
W00124,Ola,Delivery,Mumbai,45,85,6.3,906.0,94.7,0.221,0.41,0.267,0.37,1,0.737,30,1,30.5,0.3551,MEDIUM,9.83
W00125,Zepto,Delivery,Hyderabad,38,36,11.6,1305.0,82.7,0.146,0.524,0.406,0.14,0,0.507,16,1,49.9,0.3882,MEDIUM,12.76
W00126,Ola,Delivery,Hyderabad,27,77,6.8,815.0,112.4,0.292,0.655,0.269,0.157,0,0.662,8,1,22.6,0.3967,MEDIUM,10.41
W00127,Swiggy,Delivery,Bengaluru,27,62,3.3,797.0,42.7,0.253,0.318,0.43,0.174,1,0.68,11,1,30.8,0.3012,LOW,10.09
W00128,Zepto,Delivery,Navi_Mumbai,26,29,9.9,1239.0,88.5,0.273,0.564,0.506,0.241,2,1.0,17,2,19.4,0.4346,MEDIUM,10.53
W00129,Blinkit,Ride_Hailing,Thane,34,93,11.2,1200.0,124.7,0.366,0.568,0.381,0.325,3,0.829,26,0,28.0,0.5038,MEDIUM,12.67
W00130,Blinkit,Delivery,Bengaluru,44,67,7.5,1696.0,109.5,0.214,0.59,0.15,0.073,2,0.715,17,0,31.0,0.3628,MEDIUM,11.62
W00131,Ola,Delivery,Delhi,42,96,4.7,1427.0,96.4,0.287,0.799,0.06,0.241,2,0.822,21,1,33.6,0.3845,MEDIUM,11.59
W00132,Ola,Quick_Commerce,Bengaluru,46,1,9.2,741.0,88.4,0.359,0.177,0.186,0.245,1,0.613,13,1,27.4,0.3389,MEDIUM,10.12
W00133,Swiggy,Quick_Commerce,Thane,19,27,10.4,865.0,72.4,0.43,0.406,0.667,0.398,1,0.786,14,0,34.2,0.4842,MEDIUM,11.81
W00134,Ola,Delivery,Thane,39,32,9.5,1361.0,72.7,0.254,0.492,0.372,0.316,1,0.888,23,2,23.1,0.3841,MEDIUM,12.1
W00135,Zepto,Delivery,Hyderabad,47,65,6.6,790.0,30.6,,0.608,0.391,0.24,0,0.845,29,1,18.4,0.4062,MEDIUM,9.25
W00136,Uber,Delivery,Pune,25,81,6.7,986.0,102.6,0.58,0.399,0.562,0.122,2,0.7,25,1,11.9,0.4803,MEDIUM,12.13
W00137,Blinkit,Courier,Bengaluru,40,12,8.5,501.0,132.8,0.569,0.577,0.316,0.291,2,0.79,25,1,16.7,0.5108,MEDIUM,11.95
W00138,Swiggy,Delivery,Hyderabad,18,15,4.9,643.0,95.3,0.187,0.12,0.166,0.208,0,0.674,16,0,24.3,0.2399,LOW,7.67
W00139,Uber,Delivery,Pune,52,65,11.5,1541.0,85.6,0.136,0.366,0.484,0.246,1,0.664,30,0,31.0,0.3871,MEDIUM,12.83
W00140,Ola,Ride_Hailing,Thane,46,34,4.0,1159.0,106.0,,0.458,0.389,0.209,3,0.365,14,0,8.0,0.4106,MEDIUM,10.85
W00141,Amazon,Delivery,Hyderabad,41,68,7.9,880.0,10.9,0.415,0.711,0.158,0.565,4,0.699,27,0,39.0,0.4555,MEDIUM,11.36
W00142,Zomato,Delivery,Bengaluru,40,1,11.6,929.0,67.2,0.506,0.805,0.024,0.701,1,0.715,5,1,33.4,0.5036,MEDIUM,12.51
W00143,Zomato,Delivery,Delhi,43,51,8.3,1700.0,82.4,0.077,0.282,0.126,0.141,1,0.547,17,0,36.4,0.2678,LOW,11.92
W00144,Uber,Quick_Commerce,Hyderabad,34,3,10.6,870.0,25.3,0.127,,0.371,0.134,2,0.995,12,1,26.7,0.3256,LOW,10.69
W00145,Amazon,Ride_Hailing,Thane,54,92,5.4,1266.0,90.6,0.034,0.488,0.367,0.22,2,0.905,27,0,28.4,0.3198,LOW,11.83
W00146,Zepto,Quick_Commerce,Navi_Mumbai,26,15,7.5,1405.0,20.2,,0.595,0.499,0.377,0,0.909,13,0,34.4,0.4161,MEDIUM,13.18
W00147,Swiggy,Quick_Commerce,Mumbai,48,18,10.1,1606.0,109.2,0.153,0.719,0.209,0.331,1,0.671,8,1,8.0,0.4209,MEDIUM,12.97
W00148,Zomato,Delivery,Navi_Mumbai,46,10,11.9,802.0,92.9,0.743,0.808,0.176,0.389,0,0.709,5,0,21.9,0.5518,MEDIUM,12.73
W00149,Zepto,Courier,Pune,49,22,9.4,610.0,78.3,0.582,0.762,0.494,0.077,2,0.525,30,0,31.9,0.5442,MEDIUM,12.26
W00150,Swiggy,Quick_Commerce,Pune,20,48,5.4,714.0,111.7,0.531,0.741,0.144,0.154,2,0.97,17,1,29.5,0.4355,MEDIUM,10.97
W00151,Zepto,Quick_Commerce,Thane,34,60,4.5,1356.0,90.1,0.246,0.272,0.64,0.114,0,0.817,7,1,40.8,0.3367,MEDIUM,9.92
W00152,Zomato,Quick_Commerce,Bengaluru,42,87,11.4,1797.0,101.6,0.647,0.715,0.105,0.109,0,0.756,19,1,28.5,0.4663,MEDIUM,12.44
W00153,Amazon,Delivery,Pune,41,85,8.5,1368.0,94.9,0.191,0.767,0.806,0.311,0,0.8,15,0,42.7,0.4984,MEDIUM,13.48
W00154,Uber,Delivery,Pune,44,9,4.8,869.0,54.9,0.607,0.509,0.359,0.041,0,0.844,24,2,34.3,0.3758,MEDIUM,9.51
W00155,Ola,Ride_Hailing,Hyderabad,42,42,7.9,1516.0,139.9,0.888,0.53,0.23,0.628,0,,16,1,45.0,0.567,MEDIUM,13.1
W00156,Blinkit,Delivery,Pune,26,84,4.3,936.0,128.6,0.401,0.174,0.793,0.32,0,0.692,25,0,39.2,0.4397,MEDIUM,11.61
W00157,Swiggy,Ride_Hailing,Hyderabad,49,16,4.1,809.0,100.0,0.119,0.632,0.334,0.395,0,1.0,19,1,33.9,0.3415,MEDIUM,10.23
W00158,Ola,Delivery,Thane,36,65,12.2,984.0,90.3,0.238,0.553,0.305,0.377,1,0.674,10,0,44.9,0.4323,MEDIUM,11.33
W00159,Ola,Delivery,Bengaluru,54,41,8.4,897.0,111.3,0.204,0.556,0.2,0.062,0,0.685,10,0,30.7,0.3438,MEDIUM,10.93
W00160,Zepto,Courier,Hyderabad,37,17,5.5,854.0,129.1,0.083,0.362,0.3,0.119,0,0.947,18,0,39.7,0.2787,LOW,8.71
W00161,Amazon,Quick_Commerce,Bengaluru,38,6,11.8,1528.0,151.6,0.343,0.447,0.463,0.44,0,0.757,16,0,46.3,0.4912,MEDIUM,13.8
W00162,Blinkit,Ride_Hailing,Hyderabad,40,28,13.0,919.0,66.0,0.342,0.457,0.212,0.239,1,0.886,7,0,21.5,0.3715,MEDIUM,12.51
W00163,Uber,Delivery,Bengaluru,51,1,11.8,544.0,121.6,0.205,0.458,0.093,0.403,0,0.545,30,1,41.0,0.3888,MEDIUM,10.88
W00164,Uber,Ride_Hailing,Delhi,52,19,10.5,1305.0,81.9,0.334,0.387,0.172,0.469,0,0.658,6,1,22.2,0.3823,MEDIUM,11.7
W00165,Uber,Courier,Bengaluru,40,53,12.6,766.0,28.7,0.248,0.153,0.201,0.011,0,0.665,7,0,35.9,0.2455,LOW,9.12
